Model Name,Price,CC,Mileage,Weight,Links
TVS Radeon,"₹ 59,942",109.7 CC,69 Km/l,116 Kg,https://www.carandbike.com/tvs-bikes/radeon
Suzuki Hayabusa,"₹ 16,40,000",1340.0 CC,11 Km/l,266 Kg,https://www.carandbike.com/suzuki-bikes/hayabusa
Ather 450,"₹ 1,18,995",NA,100 - 116 Km/Full Charge,108 Kg,https://www.carandbike.com/ather-bikes/450
KTM 390 Duke,"₹ 2,87,545",373.2 CC,35 Km/l,167 Kg,https://www.carandbike.com/ktm-bikes/390-duke
Yamaha MT-09,"₹ 10,55,354",847.0 CC,19 Km/l,193 Kg,https://www.carandbike.com/yamaha-bikes/mt-09
TVS Sport,"₹ 52,500",109.7 CC,76.4 Km/l,110 Kg,https://www.carandbike.com/tvs-bikes/sport
TVS iQube,"₹ 1,66,358",NA,75 - 140 Km/Full Charge,118 Kg,https://www.carandbike.com/tvs-bikes/iqube
Bajaj Pulsar N250,"₹ 1,38,000",249.1 CC,N/A,162 Kg,https://www.carandbike.com/bajaj-bikes/pulsar-n250
Benelli TNT 600i,"₹ 6,20,000",600.0 CC,19 Km/l,231 Kg,https://www.carandbike.com/benelli-bikes/tnt-600i
Honda CBR 1000RR,"₹ 16,43,309",999.0 CC,18 Km/l,195 Kg,https://www.carandbike.com/honda-bikes/cbr-1000rr
Yezdi Roadster,"₹ 1,98,142",334.0 CC,N/A,184 Kg,https://www.carandbike.com/yezdi-bikes/roadster
Suzuki Avenis,"₹ 86,500",124.3 CC,55 Km/l,106 Kg,https://www.carandbike.com/suzuki-bikes/avenis
TVS Scooty Pep +,"₹ 52,554",87.8 CC,65 Km/l,95 Kg,https://www.carandbike.com/tvs-bikes/scooty-pep-plus
TVS Apache RR 310,"₹ 2,59,000",312.2 CC,30 Km/l,170 Kg,https://www.carandbike.com/tvs-bikes/apache-rr-310
Ola Electric S1,"₹ 85,099",NA,181 Km/Full Charge,121 Kg,https://www.carandbike.com/ola-electric-bikes/s1
